,meaning,KEY-MEANING
0,Mama,MOM
1,"Lalka , dziewczynka",DOLL
2,"Lalka , dziewczynka",GIRL
3,Jeść ,EAT
4,Ania,PERSON
5,Babcia,GRANDMA
6,"Upadek, uderzenie",BAM
7,Brudno,DIRTY
8,Owca,SHEEP
9,Auto,CAR
10,Ciocia,AUNT
11,Daj,GIVE
12,Królik Bing,CHARACTER
13,Bidon,WATER-BOTTLE
14,Dziadek,GRANDPA
15,Drzewo,TREE
16,Pies,DOG
17,Kaczka,DUCK
18,Owca,SHEEP
19,Kot,CAT
20,Spać ,SLEEP
21,Tata,DAD
22,Słoń ,ELEPHANT
23,Motor,MOTORCYCLE
24,Zimno,COLD
25,Zjeżdżalnia ,SLIDE
26,"Iść, pójść ",GO
27,Rower,BIKE
28,Osioł ,DONKEY
29,Lama,LLAMA
30,"Lew, tygrys",LION
31,"Lew, tygrys",TIGER
32,śpiewać ,SING
33,Płakać ,CRY
34,"Policja, karetka, straż ",AMBULANCE
35,"Policja, karetka, straż ",FIRE-BRIGADE
36,"Policja, karetka, straż ",POLICE
37,Lody,ICE-CREAM
38,"Pan, pani",MAN
39,"Pan, pani",WOMAN
40,Kupa,POOP
41,Sikać ,PEE
42,Pić ,DRINK
43,Wąż ,SNAKE
44,Zegar,CLOCK
45,"Rana, boli, uderzyć się ",HIT
46,"Rana, boli, uderzyć się ",HURTS
47,"Rana, boli, uderzyć się ",WOUND
48,"Klocki, bębenek ",BLOCKS
49,"Klocki, bębenek ",DRUM
50,Ja (Józek) ,SELF
51,Cicho,QUIET
52,Gęś ,GOOSE
53,Zdziwienie ,EXCLAMATION
54,Gołąb ,DOVE
55,Gilgotki ,TICKLING
56,Wrona,CROW
57,Nie,NO
58,Tak,YES
59,Traktor ,TRACTOR
60,Kroić ,CUT
61,Latać ,FLYING
62,"Ciepłe, gorące ",HOT
63,"Ciepłe, gorące ",WARM
64,Jaja,EGG
65,Brak,
66,"Wybuch, petarda",FIREWORKS
67,Brak ,
68,Brak,
69,Bandyta,BANDIT
70,Brak,
71,Grabić ,RAKING
72,Piszczeć,SQUEAK
73,Trąbka ,TRUMPET
74,Trąbić ,HONK
75,Klocki,BLOCKS
76,Piszczenie ,SQUEAK
77,Dzik,BOAR
78,Brak,MOM
79,Brak,DAD
80,Papuga,PARROT
81,śmiać się ,LAUGH
82,śmiech ,LAUGHTER
83,"Ja (Józio), pokazanie palcem na siebie",SELF
84,Zuzia,PERSON
85,Dziadek,GRANDPA
86,Dziadek,GRANDPA
87,Brak,MOM
88,Ciuchcia,CHOO-CHOO
89,Smaczne ,DELICIOUS
90,Brak,PERSON
91,Brak,
92,Brak,PERSON
93,Brak,
94,Piła ,SAW
95,Drabina,LADDER
96,"Mieć, posiadać ",HAVE
97,Hej,HI
98,Brak,
99,Rura,PIPE
100,Lu la lu,RHYME
101,Nina (kuzynka) ,PERSON
102,Hak,HOOK
103,Duży ,BIG
104,Dynia,PUMPKIN
105,Duży ,BIG
106,Duży ,BIG
107,Blue niebieski ,BLUE
108,Pikabu,PEEK-A-BOO
109,Hlap Hlap hlap,SPLASH
110,Pociąg ,TRAIN
111,Kot,CAT
112,Pies,DOG
113,Żyrafa ,GIRAFFE
114,Słoń ,ELEPHANT
115,Miś,TEDDY-BEAR
116,Mysz,MOUSE
117,Owad ,INSECT
118,Kura,HEN
119,Bocian ,STORK
120,Dom,HOME
121,Picie,DRINK
122,Buty,SHOES
123,Rower,BIKE
124,Motor,MOTORCYCLE
125,Stacja,STATION
126,Kask,HELMET
127,Babcia,GRANDMA
128,Dziadek ,GRANDPA
129,Hela,PERSON
130,Ewa,PERSON
131,Marcin,PERSON
